,BKLN,BND,DIA,DVY,EEM,EFA,EMB,FXI,GLD,HYG,IEMG,IVV,IWM,MDY,MTUM,MUB,QQQ,QUAL,SHY,SPY,TIP,TLT,USMV,VEA,VLUE,VNQ,VTI,VTV,VUG,VWO,VXUS,VYM,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,EWG,EWJ,EWU,IEF,IJR,IWD,IWF,LQD
2016-05-02,0.7640962944174636,-2.4265413869239536e-16,7.094562213364513e-16,-0.6334540271783833,8.865502122575978e-16,6.212965318940944e-16,-8.21457234506451e-16,0.044666773884388444,0.6533148243723265,-4.132929095451439e-16,7.859497150865776e-16,5.773153889570507e-16,8.590557953572745e-16,5.729708985913383e-16,-9.185384185098895e-18,1.1711016588167908e-16,6.166105930295362e-16,5.30276287089266e-16,3.2002695500170508e-16,5.48756824026554e-16,-5.222548362412972e-16,-7.113498521947176e-16,-3.231270414167957e-16,6.012363413409138e-16,9.71929501781506e-16,-0.06319808804111617,5.374665098773766e-16,8.081138657752102e-16,3.05078836598829e-16,8.675685058841272e-16,6.684808071607342e-16,5.927383740403126e-16,1.6459061758733738e-15,2.63553915551798e-15,0.09819463483470289,8.759445624285144e-16,7.903429392405466e-16,-6.729217775801427e-17,-6.285020363784353e-16,4.877434744443978e-16,1.9878005488971768e-16,0.05618755578280176,0.13353991670833054,9.76600130478598e-16,-1.6761089833100443e-16,8.394061978062069e-16,8.395104872795714e-16,3.130184877948111e-16,-0.05334788478053401
2016-06-01,0.7142667062948261,-4.4391020667282975e-16,7.811943393073994e-16,-0.6874518669879196,9.50045306661613e-16,7.202683871160993e-16,-8.487901293741676e-16,0.013928034715209228,0.6464709098736066,-1.8330336431090656e-16,8.548327082519048e-16,5.971879453532426e-16,8.565282708873684e-16,5.252804298308766e-16,-4.3590221738262247e-17,1.1202514637241135e-16,6.294903428794321e-16,5.2230056675896e-16,1.8736303680254224e-16,5.648796025271702e-16,-7.541157162887302e-16,-5.631156995922531e-16,-4.3748183526163423e-16,7.158217392565636e-16,1.070589586709314e-15,-0.005037415038206495,5.488946713247153e-16,8.766437755752698e-16,2.9636525292563837e-16,9.421833411369285e-16,7.693082172803746e-16,6.054083454932313e-16,1.8027462430823165e-15,2.8868795745078346e-15,0.09014108947179836,9.989196090965106e-16,8.056278803474585e-16,-1.3291148500322935e-16,-8.113729128166096e-16,4.3641453410178197e-16,2.080165300126056e-16,0.146958490105783,0.13823476953879546,1.0937255173004452e-15,-2.5178238534998473e-16,8.508478437604254e-16,9.116185663985122e-16,3.0315635546587664e-16,-0.05751071797391388
2016-07-01,0.5497943334972274,-4.372342136798155e-16,-1.7200256755508604e-15,-0.11830105965347408,-1.6182695668871472e-15,1.5108277896794154e-16,2.811219103348783e-16,-1.3952909211896796e-15,0.604882589361201,8.951061042929357e-16,-1.4424569536961706e-15,-1.9338402479217403e-15,-2.281971175356802e-15,-2.260985501688453e-15,-1.3440156808730608e-15,0.42115713948496375,-1.6001063146089583e-15,-1.889298482891652e-15,6.177409516694138e-17,-1.9193118463833825e-15,-6.073523957036145e-16,1.6649663100794065e-15,-1.790198065203497e-15,5.990175222265556e-17,-1.703146286380053e-15,-0.047109861053088065,-1.9789196178519873e-15,-2.036703201834326e-15,-1.7139670852390559e-15,-1.5995838431205388e-15,-3.9009262174783603e-16,-2.1024645726736466e-15,-2.5033651552829277e-15,-4.422172516017993e-15,-1.4839070851395986e-15,-1.909234612284772e-15,-1.5593466812269085e-15,-1.3644439623387231e-15,-0.12274846620354897,-1.5483280915523126e-15,-1.315778826197014e-15,0.1741659376566707,-6.160549413166705e-16,-3.5065688341075987e-16,5.054488173021184e-16,-2.183023480207576e-15,-2.1297274911578755e-15,-1.6707680085184258e-15,-0.461840613089904
2016-08-01,0.5521077134286458,3.549330742946817e-16,-4.1099878190122775e-17,-0.018736146388166133,-1.9749098983319477e-15,-2.617597884096897e-16,1.1609259742214555e-16,-2.1939517004416128e-15,0.05651842112807737,0.029596492243604475,-1.7324670269970579e-15,-4.887458099100632e-16,-9.486251177389936e-16,-8.136409645423006e-16,-5.848591954452078e-16,0.9052131967797374,-6.63327420073307e-16,-3.5369348160360103e-16,8.075420587892915e-17,-5.040197264394421e-16,-0.2535762999601941,0.1472067164824503,-1.8926896656943897e-16,-2.5634601684221824e-16,-5.68602315662073e-16,-0.019906191661330543,-5.009291250138739e-16,-4.1876392299887407e-16,-6.030973311305942e-16,-1.884202175409129e-15,-6.2229763316183705e-16,-6.636973498065447e-16,-1.377997696419404e-15,-4.103734714539176e-15,0.0160388956314106,-4.58090869922948e-16,-6.147660978770221e-16,-3.672632112062833e-16,-1.9329328922163378e-15,-9.23002709828099e-16,-4.2271396552727877e-17,0.04323820208428322,8.036222181038382e-05,-1.2639407598601094e-15,-3.308027394899865e-16,-6.701344730748091e-16,-5.664679860016561e-16,-3.994648094904747e-16,-0.4577813619902981
2016-09-01,0.5230508553186983,-0.15960065833072432,0.01862964664899831,-0.021061959325063422,-0.016725215199408828,-2.921251791412785e-16,-3.925995806412021e-16,0.0022304478645009795,0.0439591542767419,0.05057958574957853,-0.0013092826368468016,-5.974446227445919e-16,6.039307797363321e-16,-0.02300015194253832,-4.744603954281946e-16,0.7840085862041823,4.8074706064974796e-17,-1.1709101344633938e-15,0.02208503915006579,-6.111577436612536e-16,-0.13341140723484157,0.16662897495348966,-8.097053064750574e-16,-3.854158311154034e-16,-0.010643491642168514,-0.01722134092578889,-3.2519401030615606e-16,-3.621453221698304e-16,-4.699798707621286e-16,2.417665226854906e-16,-6.481818779714583e-17,-8.696559393520414e-16,-1.2294411584215046e-16,-0.0010942453691326817,0.05932912435453562,-2.0488694069771716e-15,0.014419520971497464,-2.274473454740499e-15,0.0032927114067118238,0.012871243233882971,-1.4077394500743221e-15,0.01098814693313249,0.01216841418663382,0.0022914803346616784,0.02346706841269451,1.498276039903566e-16,-8.965775857448927e-17,-6.04211940127136e-16,-0.36593224739347396
2016-10-03,0.5526618698580845,-0.17437978187474956,-6.16256064936463e-16,-0.023489950834347528,-0.02269516677061712,2.9077262537321326e-16,-4.0409615291500227e-16,4.011533413382205e-17,0.051490647373001915,0.03196286056786043,-0.0018898741800999937,-3.9994331250914245e-16,1.4821272411397565e-15,-0.0038744397328366784,-1.2777063886466727e-15,0.7860798563189579,-2.3348528305715455e-16,-8.337773790507364e-16,0.07017269435603164,-4.602987726649408e-16,-0.13811546332360988,0.14210135059884302,-0.014778989967902991,2.823810466599289e-16,6.683006954841556e-16,-0.015158065068679298,-9.092624414800613e-17,-2.247465819194455e-16,-3.961008280287779e-16,7.090802912010589e-17,4.3344833109645303e-16,-6.997538754997984e-16,1.5661823917059205e-15,3.4403301646091403e-16,0.04755990448821989,-6.611392074385488e-16,0.008809764935948358,-3.4412724845646966e-15,0.007696560003427392,0.020015733379981852,-1.3207938141506295e-15,0.022655612316394326,0.00879314580325511,1.000527075950733e-15,-8.991134352170037e-17,1.135319592488202e-15,1.2517448768502102e-16,-4.641344535740857e-16,-0.35561826824715426
2016-11-01,0.5582221852531825,-0.19373057195358484,-2.9008173635584113e-16,-0.020152451908076126,-0.02339689379086598,8.218966207879948e-17,6.792578444737796e-17,7.669046224201644e-17,0.05262208923626121,0.01969526090886447,7.162539437431496e-17,-1.8939682184651932e-16,9.253459250035324e-16,3.3114689826289164e-16,-1.6878271180618715e-15,0.7946431632443545,-5.592000139074774e-16,-6.126581869558484e-16,0.0806410427570876,-2.4449241040497014e-16,-0.12209831378620824,0.12992378135062138,-0.01947037900317487,2.1625432165782938e-16,5.811078994287271e-16,-0.017651082331701488,9.599007113975087e-18,4.4668343128312325e-17,-3.907290670314668e-16,2.7588699864974345e-16,3.557962846702497e-16,-2.171746856563571e-16,1.74077948891411e-15,1.5816386659418136e-15,0.051053619415004206,-2.0689991375431663e-16,0.012769381561674554,-2.840858182269083e-15,0.006108223111438945,0.01548940462017398,-1.1261512161990277e-15,0.022291385147050556,0.00654046339428182,8.15120344076187e-16,-1.7065702461165092e-16,7.429168492301905e-16,3.1759965442033114e-16,-4.535817138245478e-16,-0.3535003072263768
2016-12-01,0.528553270254255,-0.041654516625765116,-1.2466898120523776e-15,3.5234506009201108e-15,-0.01229478740289433,1.2638453821215722e-15,-0.08044508897878913,9.86246681316039e-16,0.12717193107531827,1.4595124097250876e-15,6.123975567546856e-15,1.1207364153960602e-17,-5.857216399135338e-16,1.1451206952080485e-15,-1.919730920907339e-15,0.8739248992768108,-3.2372118581637914e-15,-9.160144543624549e-16,-3.323675582931896e-15,1.8862794083900766e-16,6.3910714901645434e-15,0.04102822939564495,-0.0862160039066865,2.4443439807166895e-15,1.6052874422664543e-16,-8.421525685704711e-16,6.487192043743652e-16,1.4419585876588846e-16,-6.441445174636302e-16,5.635131974258952e-15,3.4860584305727864e-15,7.629168888111597e-16,1.4697783823559373e-15,2.5531609114527644e-15,0.17932166999779267,-8.829384187399677e-16,-1.5143250600082077e-15,-2.2939109087648585e-15,-2.4580294404835665e-15,-7.073007442119669e-15,-2.2704934316103417e-15,7.220992553860912e-16,-4.286630295552933e-15,1.1551738359966734e-15,-2.102178758423486e-15,-1.1539989217484317e-15,9.935478940755711e-16,-8.187562535400833e-16,-0.529389603085645
2017-01-03,0.4440081910529365,-0.0575894918910253,-1.4451602932646117e-15,-1.4683327476642967e-15,-0.020701630141764668,-4.168792971807814e-17,-0.22156438972660736,-1.4686621905547602e-15,0.19392024526725618,1.6138065357167053e-15,3.224048329865704e-16,-9.042320746616005e-16,1.0973667868905128e-15,4.088610180350831e-16,-3.975147092482975e-15,0.79325406044513,-2.84501053354919e-15,-1.9868495192041344e-15,-2.5550438491684127e-15,-8.783219217265251e-16,1.5736397361306224e-15,0.02319755288554908,-0.10387890681955532,4.988855959548705e-16,9.41608351983707e-16,-4.6948656749925205e-15,-3.6145042466949746e-16,-2.4705341322978895e-16,-1.6409929133242371e-15,6.150424257009276e-16,3.4847769677093684e-16,-1.1527178929011353e-15,8.826360131690172e-16,5.281531161154508e-16,0.25198001234677997,-4.275941332579133e-16,-3.136480418953168e-15,-6.458728409576967e-15,-8.042868805346455e-15,0.043639938002350886,-2.5554402607149726e-15,2.0968478244974583e-16,-2.9686763337577916e-15,-2.834371081826288e-16,-1.42769570178523e-15,2.5213079646546007e-16,2.0647072763547448e-16,-1.5154055439232174e-15,-0.3462655814209915
2017-02-01,0.4647884553553894,-0.01238359617176464,-1.0703688672078752e-15,-1.5940371859617862e-15,-0.01934920035933247,3.376442662657854e-16,-0.29389273860934356,-1.497978201287146e-15,0.16518821141991963,1.131350008210776e-15,-4.1634686553273544e-16,-6.890435307255028e-16,1.4351651275092783e-16,-1.9049295572758941e-16,-2.5134586702428357e-15,0.6798012717073271,-1.799932280047269e-15,-1.5103180506099378e-15,-2.3577542268371026e-15,-6.276260648098587e-16,3.559172895519043e-16,0.10611200353284972,-0.14663206400733916,5.43156987995572e-16,3.6848119959465783e-16,-2.9518953926788412e-15,-3.9537184277369866e-16,-2.231553894697974e-16,-1.1796441909959704e-15,-3.452881160738307e-16,2.812174456546385e-16,-9.884039953333499e-16,-2.5672611020672795e-16,2.082805420795401e-17,0.27029157987401103,-8.030732056483865e-16,-2.1194012190804787e-15,-4.575064412459392e-15,-6.092723074175339e-15,0.0638184781105161,-1.5086741789411342e-15,3.40805897752488e-16,-1.0628820647248611e-15,3.30979910103899e-16,-1.1998633542771903e-15,-4.249150787552567e-16,2.4577137252515618e-17,-1.0891384630370084e-15,-0.27774240085218804
2017-03-01,0.4187187255414007,-1.2107742757629395e-15,-1.3214162819988441e-16,-1.4131931674737438e-15,-0.023883924156461237,-5.660424171604514e-16,-0.23761193020402263,-1.0070897838697229e-15,0.1589084137179117,3.1018908398376314e-16,-0.004706390981164765,-3.957348114666886e-16,7.639472443459679e-16,-7.41229272794041e-18,-2.040709307350595e-15,0.6638212696504204,-9.665132051910079e-16,-8.677198743981341e-16,-1.6741577036600906e-15,-3.538686594783057e-16,-5.11837815994713e-16,0.11543314769693304,-0.2169612045092001,-4.771759117443154e-16,8.016170882862473e-16,-2.1957897813147394e-15,-2.0091756839864122e-16,1.5340210967230452e-16,-8.442506403353094e-16,-1.0497435709788594e-15,-7.797868432461813e-16,-6.76622656989414e-16,4.167069987486735e-17,5.498474669912424e-17,0.3150795787448676,1.2771241575289222e-16,-1.5692956305029813e-15,-3.681073285644857e-15,-3.895819643350999e-15,0.07803886464851402,-7.376032016790551e-16,-8.189401562923331e-16,-6.704861889867526e-16,-5.575016794493268e-16,-5.681016047381988e-16,4.649967656531185e-16,1.421472691529439e-16,-6.970627598367048e-16,-0.2668365501491718
2017-04-03,0.4030120223798195,-8.874905621731718e-16,-3.4826452654955803e-16,-1.6286550035155405e-15,-0.006211366218733629,-5.82135775678648e-16,-0.2601689563436447,-8.374860627668989e-16,0.18427796708094749,5.027197074935159e-16,-0.026924550990679866,-4.536500303903295e-16,3.443432617339405e-16,-2.7643024457258125e-16,-2.113674243853836e-15,0.6729772837666481,-9.770365217276224e-16,-9.991115486903271e-16,-1.602930619618772e-15,-4.1318538918143173e-16,-2.3904993143970726e-16,0.11001957135465186,-0.17502729364911754,-4.3999155946026846e-16,7.504138726322415e-16,-2.696507191161255e-15,-2.9079597306805104e-16,1.5976608200236065e-17,-8.880185239755632e-16,-8.95537997623326e-16,-6.454800747283072e-16,-7.932180616514944e-16,1.2851169272796925e-16,-1.0562594501025011e-16,0.3255193371269777,-1.8163085931570517e-16,-1.5946738831938442e-15,-4.0506381319306545e-15,-4.876328367605877e-15,0.05419381829100044,-9.940690541008841e-16,-8.404571742175415e-16,-7.751212754703966e-16,-7.139670164011493e-16,-5.045204499879183e-16,-7.195969083861175e-17,4.680606749064567e-18,-7.489096821224242e-16,-0.2816678327978366
2017-05-01,0.35975552298784425,-4.3964861435161413e-16,-6.17598461103792e-16,-1.7015867718918414e-15,-0.01639945723141243,-3.112867756611942e-16,-0.2701379560160543,-1.0572302947107247e-15,0.1923214266410079,6.67480696899198e-16,-0.015555308379566864,-5.384051079274964e-16,-5.2263909868570913e-17,-5.27546390529103e-16,-2.249358729381546e-15,0.6851829187446719,-1.0745734409145491e-15,-1.1436260754805495e-15,-1.283250808471726e-15,-5.021464570484169e-16,1.4910793861406304e-16,0.10646558314869037,-0.1610110657532775,-1.3039845950449456e-16,5.21660442182856e-16,-2.923670748687607e-15,-4.1872911667038394e-16,-1.7737266592082577e-16,-9.401470900339737e-16,-6.351936031410439e-16,-2.9557328965257026e-16,-9.01270171793998e-16,-1.9521165065636666e-16,1.3016112818782747e-16,0.3514973459269349,-6.776702112122138e-16,-1.6726073562669807e-15,-4.102001689386188e-15,-5.2931376792162685e-15,0.0547772025508905,-1.1733626954339967e-15,-6.050390362116401e-16,-6.442087236975367e-16,-4.4000689846719e-16,-3.4627898816686866e-16,-5.892812618884265e-16,-1.774752923722236e-16,-7.915647506106467e-16,-0.28689621261969284
